Date,ANET,CRWD,LWMHF,LLY,CEG,NVDA.NE,LRLCF,MRU.TO,SSB,COP,TMUS,BIIB,TSM,DOL.TO,NKE
9/21/2023,177.860001,162.529999,777.5,550.130005,109.940002,39.650002,416.149994,71.860001,67.959999,119.07,139.990005,258.929993,85.360001,93.610001,91.589996
9/22/2023,180.339996,162.570007,777.440002,550.539978,110.360001,40.23,427.450012,71.400002,67.5,119.160004,139.350006,257.679993,85.639999,94.150002,90.849998
9/25/2023,181.179993,159.919998,757.650024,552.289978,112.209999,39.939999,420.100006,70.889999,68.739998,121.07,140.009995,255.020004,86.239998,93.199997,90.599998
9/26/2023,177.919998,160.479996,743,550.01001,108.489998,40.439999,413.290009,69.879997,67.419998,120.139999,140.460007,258.049988,84.290001,92.849998,90.169998
9/27/2023,181.600006,163.039993,736.01001,549.76001,110.75,41.02,406.899994,70.970001,66.379997,123.089996,139.699997,257.519989,85.440002,94.43,89.419998
9/28/2023,184.429993,165.25,746.289978,544.450012,109.32,41.459999,413.5,70.540001,66.980003,122.720001,139.699997,257.829987,86.410004,93.580002,89.629997
9/29/2023,183.929993,167.380005,759.859985,537.130005,109.080002,42.66,416.5,70.629997,67.360001,119.800003,140.050003,257.01001,86.900002,93.199997,95.620003
10/2/2023,187.809998,169.539993,745.340027,538.289978,104.730003,41.439999,410.5,71.120003,66.139999,117.099998,139.259995,252.860001,87.650002,92.940002,94.559998
10/3/2023,184.889999,162.029999,740.52002,525.190002,104.889999,41.939999,405.75,71.879997,64.900002,117.599998,136.429993,251.309998,85.410004,93.589996,95.089996
10/4/2023,186.029999,164.050003,751.109985,531.460022,106.160004,42.529999,414.98999,71.779999,65.57,113.330002,138.059998,257.160004,86.669998,94.440002,95.889999
10/5/2023,188.029999,165.289993,765.900024,541.47998,107.879997,43.540001,408.25,71.510002,67.150002,113.419998,137.429993,259.769989,87.029999,94.150002,95.790001
10/6/2023,194.020004,176.690002,780.440002,565.219971,110.169998,43.560001,414.25,71.800003,68.07,115.330002,139.029999,263.25,89.290001,95.019997,97.110001
10/9/2023,196.399994,181.820007,759.179993,571.76001,111.379997,44.549999,405,72.370003,67.879997,121.82,140.139999,264.209991,88.989998,96.480003,96.879997
